Time,h1,h2,h3,h4,v1,v2
1.900237529691211691e+01,1.677692643081172023e-03,7.040576320513201695e-03,1.839959362307503395e-03,8.484402237602699931e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.000250031253906968e+01,1.677692631192433115e-03,7.040576271788260079e-03,1.839959351442708654e-03,8.484402303777536375e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.100262532816602246e+01,1.677692619996074821e-03,7.040576227629438515e-03,1.839959341319565879e-03,8.484402366527036415e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.200275034379297523e+01,1.677692609435705619e-03,7.040576187535483449e-03,1.839959331874888200e-03,8.484402426095875860e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.300287535941992800e+01,1.677692599466268884e-03,7.040576151077952878e-03,1.839959323054349283e-03,8.484402482707599849e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.400300037504688078e+01,1.677692590052360429e-03,7.040576117891770777e-03,1.839959314811216978e-03,8.484402536566558808e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.500312539067383710e+01,1.677692581166472744e-03,7.040576087667011450e-03,1.839959307105251555e-03,8.484402587859657049e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.600325040630078988e+01,1.677692572787239890e-03,7.040576060141751601e-03,1.839959299901735993e-03,8.484402636757924429e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.700337542192774265e+01,1.677692564897750914e-03,7.040576035095792370e-03,1.839959293170616858e-03,8.484402683417919741e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.800350043755469542e+01,1.677692557484026115e-03,7.040576012345142916e-03,1.839959286885746014e-03,8.484402727982991860e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.900362545318164820e+01,1.677692550533729223e-03,7.040575991737132826e-03,1.839959281024203209e-03,8.484402770584438536e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.000375046880860452e+01,1.677692544035159963e-03,7.040575973146070976e-03,1.839959275565690444e-03,8.484402811342548964e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.100387548443555730e+01,1.677692537976540428e-03,7.040575956469352810e-03,1.839959270491997242e-03,8.484402850367526658e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.200400050006251007e+01,1.677692532345586175e-03,7.040575941623968340e-03,1.839959265786524035e-03,8.484402887760362014e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.300412551568946640e+01,1.677692527129288078e-03,7.040575928543338878e-03,1.839959261433863225e-03,8.484402923613599060e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.400425053131641562e+01,1.677692522313869831e-03,7.040575917174453011e-03,1.839959257419437931e-03,8.484402958012039753e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.500437554694337194e+01,1.677692517884829147e-03,7.040575907475252367e-03,1.839959253729188003e-03,8.484402991033404909e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.600450056257032116e+01,1.677692513827019286e-03,7.040575899412252446e-03,1.839959250349315449e-03,8.484403022748913600e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.700462557819727749e+01,1.677692510124725823e-03,7.040575892958357736e-03,1.839959247266075622e-03,8.484403053223831329e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.800475059382423382e+01,1.677692506761720853e-03,7.040575888090874583e-03,1.839959244465618274e-03,8.484403082517964420e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.900487560945118304e+01,1.677692503721305278e-03,7.040575884789696676e-03,1.839959241933880000e-03,8.484403110686126667e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.000500062507813936e+01,1.677692500986333957e-03,7.040575883035653584e-03,1.839959239656517240e-03,8.484403137778564336e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.100512564070508859e+01,1.677692498539253441e-03,7.040575882809037116e-03,1.839959237618884807e-03,8.484403163841337803e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.200525065633204491e+01,1.677692496362144037e-03,7.040575884088273381e-03,1.839959235806054973e-03,8.484403188916697994e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.300537567195900124e+01,1.677692494436803941e-03,7.040575886848763135e-03,1.839959234202867121e-03,8.484403213043417713e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.400550068758595046e+01,1.677692492744844652e-03,7.040575891061885173e-03,1.839959232794011884e-03,8.484403236257114303e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.500562570321290679e+01,1.677692491267827359e-03,7.040575896694153263e-03,1.839959231564131971e-03,8.484403258590535873e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.600575071883985601e+01,1.677692489987398687e-03,7.040575903706547400e-03,1.839959230497948805e-03,8.484403280073830184e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.700587573446681233e+01,1.677692488885463521e-03,7.040575912054002072e-03,1.839959229580392409e-03,8.484403300734820463e-03,1.500000000000000000e+00,5.000000000000000000e-01
